Institution Name, Operating Expenses per Team/Men's Team , Revenues Men's Team , Expenses Men's Team , Net Income 
Old Dominion University," $1,407,307 "," $3,953,002 "," $3,953,002 ", $-   
University of San Diego," $594,930 "," $3,120,907 "," $3,120,907 ", $-   
Rice University," $686,388 "," $3,169,654 "," $3,169,654 ", $-   
Hofstra University," $456,954 "," $2,939,154 "," $2,939,154 ", $-   
University of the Pacific," $715,769 "," $3,181,522 "," $3,181,522 ", $-   
La Salle University," $1,095,427 "," $3,558,014 "," $3,558,014 ", $-   
New Mexico State University-Main Campus," $622,278 "," $3,077,862 "," $3,077,862 ", $-   
Georgia State University," $519,797 "," $2,917,278 "," $2,917,278 ", $-   
University of Hawaii at Manoa," $585,632 "," $2,960,055 "," $2,960,055 ", $-   
University of Toledo," $334,019 "," $2,673,988 "," $2,673,988 ", $-   
University of California-Irvine," $616,625 "," $2,953,537 "," $2,953,537 ", $-   
University at Buffalo," $757,485 "," $3,093,556 "," $3,093,556 ", $-   
Iona College," $549,745 "," $2,881,346 "," $2,881,346 ", $-   
Monmouth University," $469,385 "," $2,795,919 "," $2,795,919 ", $-   
University of Akron Main Campus," $752,096 "," $3,045,115 "," $3,045,115 ", $-   
Boston University," $388,475 "," $2,669,686 "," $2,669,686 ", $-   
University of Delaware," $506,915 "," $2,785,559 "," $2,785,559 ", $-   
Drexel University," $489,257 "," $2,760,011 "," $2,760,011 ", $-   
Middle Tennessee State University," $722,435 "," $2,982,636 "," $2,982,636 ", $-   
University of Louisiana at Lafayette," $523,170 "," $2,780,548 "," $2,780,548 ", $-   
University of North Texas," $636,066 "," $2,847,662 "," $2,847,662 ", $-   
James Madison University," $515,385 "," $2,709,807 "," $2,709,807 ", $-   
Bucknell University," $450,192 "," $2,624,075 "," $2,624,075 ", $-   
Rider University," $378,711 "," $2,508,228 "," $2,508,228 ", $-   
Stetson University," $268,370 "," $2,386,051 "," $2,386,051 ", $-   
University of Wisconsin-Milwaukee," $484,400 "," $2,588,033 "," $2,588,033 ", $-   
University of Evansville," $472,613 "," $2,570,477 "," $2,570,477 ", $-   
Marshall University," $1,088,921 "," $3,161,233 "," $3,161,233 ", $-   
Marist College," $310,376 "," $2,358,993 "," $2,358,993 ", $-   
Siena College," $1,184,716 "," $3,219,292 "," $3,219,292 ", $-   
Manhattan College," $426,855 "," $2,455,366 "," $2,455,366 ", $-   
Missouri State University-Springfield," $782,348 "," $2,808,838 "," $2,808,838 ", $-   
College of the Holy Cross," $272,622 "," $2,282,921 "," $2,282,921 ", $-   
Illinois State University," $443,952 "," $2,440,752 "," $2,440,752 ", $-   
University of Denver," $562,118 "," $2,532,725 "," $2,532,725 ", $-   
University of California-Davis," $461,142 "," $2,395,167 "," $2,395,167 ", $-   
The University of Texas at Arlington," $631,778 "," $2,557,576 "," $2,557,576 ", $-   
Robert Morris University," $740,364 "," $2,661,978 "," $2,661,978 ", $-   
California State University-Long Beach," $495,713 "," $2,412,791 "," $2,412,791 ", $-   
Florida Atlantic University," $446,857 "," $2,352,069 "," $2,352,069 ", $-   
Northern Kentucky University," $588,131 "," $2,470,374 "," $2,470,374 ", $-   
University of Hartford," $431,992 "," $2,303,817 "," $2,303,817 ", $-   
University of North Carolina Wilmington," $461,029 "," $2,317,837 "," $2,317,837 ", $-   
Miami University-Oxford," $387,561 "," $2,234,349 "," $2,234,349 ", $-   
Towson University," $415,561 "," $2,259,918 "," $2,259,918 ", $-   
University of Illinois at Chicago," $409,178 "," $2,248,503 "," $2,248,503 ", $-   
Western Michigan University," $404,706 "," $2,243,842 "," $2,243,842 ", $-   
Mercer University," $223,825 "," $2,062,738 "," $2,062,738 ", $-   
Colgate University," $334,592 "," $2,126,456 "," $2,126,456 ", $-   
Bowling Green State University-Main Campus," $763,590 "," $2,544,177 "," $2,544,177 ", $-   
American University," $297,484 "," $2,072,510 "," $2,072,510 ", $-   
Lafayette College," $179,005 "," $1,938,231 "," $1,938,231 ", $-   
Coastal Carolina University," $501,274 "," $2,243,214 "," $2,243,214 ", $-   
Southern Illinois University-Carbondale," $740,924 "," $2,482,549 "," $2,482,549 ", $-   
San Jose State University," $295,732 "," $2,035,793 "," $2,035,793 ", $-   
Eastern Michigan University," $450,087 "," $2,170,870 "," $2,170,870 ", $-   
Lipscomb University," $516,648 "," $2,228,677 "," $2,228,677 ", $-   
California Polytechnic State University-San Luis Obispo," $477,268 "," $2,181,492 "," $2,181,492 ", $-   
Seattle University," $1,002,900 "," $2,681,442 "," $2,681,442 ", $-   
South Dakota State University," $509,309 "," $2,177,776 "," $2,177,776 ", $-   
North Carolina Central University," $66,291 "," $1,710,811 "," $1,710,811 ", $-   
California State University-Fullerton," $474,888 "," $2,114,807 "," $2,114,807 ", $-   
Central Michigan University," $533,295 "," $2,168,814 "," $2,168,814 ", $-   
The University of Texas at San Antonio," $611,901 "," $2,239,480 "," $2,239,480 ", $-   
University of North Carolina at Greensboro," $651,057 "," $2,275,162 "," $2,275,162 ", $-   
Jacksonville University," $408,306 "," $2,025,816 "," $2,025,816 ", $-   
Loyola University Maryland," $389,505 "," $2,002,011 "," $2,002,011 ", $-   
Bryant University," $323,259 "," $1,883,381 "," $1,883,381 ", $-   
Saint Francis University," $485,734 "," $2,040,877 "," $2,040,877 ", $-   
Kent State University at Kent," $615,674 "," $2,158,311 "," $2,158,311 ", $-   
University of Southern Mississippi," $643,577 "," $2,169,053 "," $2,169,053 ", $-   
The University of Tennessee-Chattanooga," $416,048 "," $1,940,945 "," $1,940,945 ", $-   
Fairleigh Dickinson University-Metropolitan Campus," $326,196 "," $1,846,780 "," $1,846,780 ", $-   
Stephen F Austin State University," $501,822 "," $2,015,066 "," $2,015,066 ", $-   
Indiana State University," $627,302 "," $2,129,934 "," $2,129,934 ", $-   
University of Pennsylvania," $555,447 "," $2,049,825 "," $2,049,825 ", $-   
Indiana University-Purdue University-Indianapolis," $447,875 "," $1,928,860 "," $1,928,860 ", $-   
Texas State University," $497,884 "," $1,976,474 "," $1,976,474 ", $-   
Lehigh University," $249,338 "," $1,725,866 "," $1,725,866 ", $-   
East Tennessee State University," $404,907 "," $1,878,553 "," $1,878,553 ", $-   
Weber State University," $442,466 "," $1,913,406 "," $1,913,406 ", $-   
Mount St. Mary's University," $357,059 "," $1,815,414 "," $1,815,414 ", $-   
University of North Dakota," $496,687 "," $1,943,907 "," $1,943,907 ", $-   
Wofford College," $527,709 "," $1,965,358 "," $1,965,358 ", $-   
Binghamton University," $329,097 "," $1,753,592 "," $1,753,592 ", $-   
Appalachian State University," $544,143 "," $1,952,593 "," $1,952,593 ", $-   
Portland State University," $431,247 "," $1,809,651 "," $1,809,651 ", $-   
University of New Hampshire-Main Campus," $228,705 "," $1,601,005 "," $1,601,005 ", $-   
Canisius College," $266,922 "," $1,639,094 "," $1,639,094 ", $-   
Texas A & M University-Corpus Christi," $537,550 "," $1,901,648 "," $1,901,648 ", $-   
Ball State University," $611,752 "," $1,975,432 "," $1,975,432 ", $-   
Saint Peter's University," $279,753 "," $1,641,425 "," $1,641,425 ", $-   
Radford University," $326,458 "," $1,682,177 "," $1,682,177 ", $-   
University of Wisconsin-Green Bay," $528,274 "," $1,874,827 "," $1,874,827 ", $-   
Central Connecticut State University," $65,936 "," $1,402,297 "," $1,402,297 ", $-   
Northern Illinois University," $444,414 "," $1,775,696 "," $1,775,696 ", $-   
Virginia Military Institute," $241,928 "," $1,547,786 "," $1,547,786 ", $-   
University of Idaho," $476,316 "," $1,729,001 "," $1,729,001 ", $-   
Sacred Heart University," $245,675 "," $1,496,346 "," $1,496,346 ", $-   
Youngstown State University," $312,350 "," $1,555,175 "," $1,555,175 ", $-   
Florida Gulf Coast University," $354,089 "," $1,589,474 "," $1,589,474 ", $-   
Howard University," $112,258 "," $1,338,284 "," $1,338,284 ", $-   
Northern Arizona University," $583,330 "," $1,805,164 "," $1,805,164 ", $-   
Eastern Kentucky University," $361,924 "," $1,576,265 "," $1,576,265 ", $-   
University of North Florida," $331,392 "," $1,532,649 "," $1,532,649 ", $-   
California State University-Sacramento," $471,246 "," $1,667,359 "," $1,667,359 ", $-   
Jacksonville State University," $302,772 "," $1,497,090 "," $1,497,090 ", $-   
Niagara University," $493,252 "," $1,683,937 "," $1,683,937 ", $-   
University of Louisiana at Monroe," $284,703 "," $1,469,020 "," $1,469,020 ", $-   
North Dakota State University-Main Campus," $543,976 "," $1,720,634 "," $1,720,634 ", $-   
Indiana University-Purdue University-Fort Wayne," $535,831 "," $1,700,944 "," $1,700,944 ", $-   
Columbia University in the City of New York," $294,014 "," $1,445,658 "," $1,445,658 ", $-   
North Carolina A & T State University," $264,037 "," $1,409,516 "," $1,409,516 ", $-   
University of South Dakota," $357,150 "," $1,469,868 "," $1,469,868 ", $-   
Southeast Missouri State University," $203,120 "," $1,304,144 "," $1,304,144 ", $-   
University of Northern Colorado," $445,084 "," $1,538,837 "," $1,538,837 ", $-   
Norfolk State University," $386,482 "," $1,477,761 "," $1,477,761 ", $-   
St Francis College," $270,264 "," $1,358,525 "," $1,358,525 ", $-   
Idaho State University," $376,990 "," $1,461,637 "," $1,461,637 ", $-   
Morehead State University," $298,334 "," $1,361,968 "," $1,361,968 ", $-   
Arkansas State University-Main Campus," $514,978 "," $1,578,156 "," $1,578,156 ", $-   
Presbyterian College," $279,822 "," $1,330,762 "," $1,330,762 ", $-   
University of Maine," $383,384 "," $1,432,766 "," $1,432,766 ", $-   
Princeton University," $301,476 "," $1,342,776 "," $1,342,776 ", $-   
Yale University," $378,901 "," $1,416,853 "," $1,416,853 ", $-   
Harvard University," $439,653 "," $1,474,941 "," $1,474,941 ", $-   
Morgan State University," $483,799 "," $1,517,680 "," $1,517,680 ", $-   
The University of Texas Rio Grande Valley," $619,108 "," $1,652,983 "," $1,652,983 ", $-   
Georgia Southern University," $498,208 "," $1,505,129 "," $1,505,129 ", $-   
University of North Carolina at Asheville," $198,337 "," $1,183,573 "," $1,183,573 ", $-   
University of South Carolina-Upstate," $184,083 "," $1,167,592 "," $1,167,592 ", $-   
University of Nebraska at Omaha," $297,766 "," $1,262,543 "," $1,262,543 ", $-   
Southeastern Louisiana University," $209,110 "," $1,172,241 "," $1,172,241 ", $-   
Northwestern State University of Louisiana," $185,817 "," $1,132,840 "," $1,132,840 ", $-   
Tennessee Technological University," $227,125 "," $1,161,305 "," $1,161,305 ", $-   
Sam Houston State University," $266,977 "," $1,194,442 "," $1,194,442 ", $-   
Houston Baptist University," $419,424 "," $1,345,408 "," $1,345,408 ", $-   
Gardner-Webb University," $274,645 "," $1,195,668 "," $1,195,668 ", $-   
Cornell University," $226,514 "," $1,143,930 "," $1,143,930 ", $-   
Prairie View A & M University," $277,918 "," $1,184,538 "," $1,184,538 ", $-   
McNeese State University," $256,889 "," $1,162,753 "," $1,162,753 ", $-   
Charleston Southern University," $351,197 "," $1,243,917 "," $1,243,917 ", $-   
Western Carolina University," $208,570 "," $1,089,269 "," $1,089,269 ", $-   
University of Central Arkansas," $415,201 "," $1,295,287 "," $1,295,287 ", $-   
Eastern Illinois University," $289,850 "," $1,146,676 "," $1,146,676 ", $-   
University of North Alabama," $315,462 "," $1,159,508 "," $1,159,508 ", $-   
Western Illinois University," $348,195 "," $1,190,756 "," $1,190,756 ", $-   
Dartmouth College," $312,916 "," $1,131,199 "," $1,131,199 ", $-   
Alabama State University," $180,911 "," $992,694 "," $992,694 ", $-   
University of New Orleans," $252,571 "," $1,052,459 "," $1,052,459 ", $-   
Brown University," $440,738 "," $1,239,495 "," $1,239,495 ", $-   
Bethune-Cookman University," $306,232 "," $1,079,602 "," $1,079,602 ", $-   
Florida Agricultural and Mechanical University," $279,905 "," $1,033,463 "," $1,033,463 ", $-   
Delaware State University," $200,570 "," $910,671 "," $910,671 ", $-   
Abilene Christian University," $484,638 "," $1,178,426 "," $1,178,426 ", $-   
Grambling State University," $326,484 "," $913,266 "," $913,266 ", $-   
Coppin State University," $200,190 "," $785,999 "," $785,999 ", $-   
University of Arkansas at Pine Bluff," $252,993 "," $833,958 "," $833,958 ", $-   
Jackson State University," $108,201 "," $676,673 "," $676,673 ", $-   
South Carolina State University," $244,941 "," $785,619 "," $785,619 ", $-   
Alcorn State University," $114,031 "," $533,743 "," $533,743 ", $-   
Cleveland State University," $704,618 "," $2,122,220 "," $2,140,282 "," $(18,062)"
Southern Utah University," $395,517 "," $1,274,977 "," $1,301,285 "," $(26,308)"
Alabama A & M University," $184,268 "," $1,591,652 "," $1,667,122 "," $(75,470)"
Drake University," $920,372 "," $2,557,916 "," $2,649,047 "," $(91,131)"
Georgia Institute of Technology-Main Campus," $1,542,063 "," $6,910,271 "," $7,095,493 "," $(185,222)"
California State University-Northridge," $511,526 "," $2,238,825 "," $2,438,136 "," $(199,311)"
Southern University and A & M College," $224,315 "," $596,992 "," $815,704 "," $(218,712)"
Montana State University," $573,676 "," $1,833,808 "," $2,094,896 "," $(261,088)"
Stony Brook University," $587,847 "," $2,064,588 "," $2,392,346 "," $(327,758)"
Stanford University," $1,303,284 "," $6,769,220 "," $7,143,168 "," $(373,948)"
Troy University," $147,088 "," $2,198,323 "," $2,604,565 "," $(406,242)"
The University of Montana," $172,517 "," $1,974,451 "," $2,452,114 "," $(477,663)"
University of Southern California," $1,346,460 "," $6,275,440 "," $6,901,843 "," $(626,403)"
University of Central Florida," $1,057,414 "," $3,879,707 "," $4,594,025 "," $(714,318)"
Texas Christian University," $2,062,641 "," $14,852,389 "," $15,718,763 "," $(866,374)"
University of Arkansas at Little Rock," $519,698 "," $1,107,986 "," $2,126,312 "," $(1,018,326)"
West Virginia University," $2,928,859 "," $8,484,584 "," $10,798,893 "," $(2,314,309)"
University of California-Los Angeles," $2,499,540 "," $11,959,355 "," $15,468,381 "," $(3,509,026)"
University of Notre Dame," $1,789,870 "," $4,153,208 "," $8,331,273 "," $(4,178,065)"